source_id,target_id,distance,distance_rank,dataset,method,p_near,near_comp_mean,selected,fallback_used
1,0,1.0946,8,bciciv2a,gmm2,7.05285719762794e-310,0.31791263212520016,0,0
2,0,0.2983,1,bciciv2a,gmm2,0.9992348372536282,0.31791263212520016,1,0
3,0,0.34627,3,bciciv2a,gmm2,0.9963572138354773,0.31791263212520016,1,0
4,0,0.7964,6,bciciv2a,gmm2,6.5135618093143905e-118,0.31791263212520016,0,0
5,0,0.713,5,bciciv2a,gmm2,2.671452742136499e-80,0.31791263212520016,0,0
6,0,0.30925,2,bciciv2a,gmm2,0.9993176471816879,0.31791263212520016,1,0
7,0,0.6676,4,bciciv2a,gmm2,8.875733761534861e-63,0.31791263212520016,0,0
8,0,0.8645,7,bciciv2a,gmm2,7.757582438175847e-154,0.31791263212520016,0,0
0,1,1.0946,4,bciciv2a,gmm2,0.6856982897552215,0.9035718416283782,1,0
2,1,1.2975,6,bciciv2a,gmm2,0.15466455932126774,0.9035718416283782,0,0
3,1,0.7964,2,bciciv2a,gmm2,0.9738908353619932,0.9035718416283782,1,0
4,1,1.154,5,bciciv2a,gmm2,0.5250600516507835,0.9035718416283782,1,0
5,1,0.6615,1,bciciv2a,gmm2,0.9899393982418913,0.9035718416283782,1,0
6,1,1.5943,7,bciciv2a,gmm2,0.002189564549075282,0.9035718416283782,0,0
7,1,0.9397,3,bciciv2a,gmm2,0.9148359993006324,0.9035718416283782,1,0
8,1,1.6839,8,bciciv2a,gmm2,0.00047894125535211953,0.9035718416283782,0,0
0,2,0.2983,2,bciciv2a,gmm2,1.0,0.5416917170162157,1,0
1,2,1.2975,8,bciciv2a,gmm2,5.5594964984362054e-05,0.5416917170162157,0,0
3,2,0.7945,7,bciciv2a,gmm2,1.0,0.5416917170162157,1,0
4,2,0.5791,4,bciciv2a,gmm2,1.0,0.5416917170162157,1,0
5,2,0.53,3,bciciv2a,gmm2,1.0,0.5416917170162157,1,0
6,2,0.6645,5,bciciv2a,gmm2,1.0,0.5416917170162157,1,0
7,2,0.1793,1,bciciv2a,gmm2,1.0,0.5416917170162157,1,0
8,2,0.7461,6,bciciv2a,gmm2,1.0,0.5416917170162157,1,0
0,3,0.34627,2,bciciv2a,gmm2,0.9979335627965843,0.3139388741100771,1,0
1,3,0.7964,5,bciciv2a,gmm2,8.318453194313586e-49,0.3139388741100771,0,0
2,3,0.7945,4,bciciv2a,gmm2,2.0133089415458134e-48,0.3139388741100771,0,0
4,3,0.28166,1,bciciv2a,gmm2,0.9995509609426061,0.3139388741100771,1,0
5,3,0.9437,7,bciciv2a,gmm2,6.0769892128309644e-83,0.3139388741100771,0,0
6,3,1.231,8,bciciv2a,gmm2,2.1787652226627733e-174,0.3139388741100771,0,0
7,3,0.7841,3,bciciv2a,gmm2,2.3966687490550043e-46,0.3139388741100771,0,0
8,3,0.8594,6,bciciv2a,gmm2,2.3854823150146135e-62,0.3139388741100771,0,0
0,4,0.7964,7,bciciv2a,gmm2,1.0,0.6038346307082874,1,0
1,4,1.154,8,bciciv2a,gmm2,0.00014980069678071164,0.6038346307082874,0,0
2,4,0.5791,3,bciciv2a,gmm2,1.0,0.6038346307082874,1,0
3,4,0.28166,1,bciciv2a,gmm2,1.0,0.6038346307082874,1,0
5,4,0.6379,4,bciciv2a,gmm2,1.0,0.6038346307082874,1,0
6,4,0.4976,2,bciciv2a,gmm2,1.0,0.6038346307082874,1,0
7,4,0.6549,5,bciciv2a,gmm2,1.0,0.6038346307082874,1,0
8,4,0.7792,6,bciciv2a,gmm2,1.0,0.6038346307082874,1,0
0,5,0.713,7,bciciv2a,gmm2,1.0,0.60857176532847,1,0
1,5,0.6615,6,bciciv2a,gmm2,1.0,0.60857176532847,1,0
2,5,0.53,2,bciciv2a,gmm2,1.0,0.60857176532847,1,0
3,5,0.9437,8,bciciv2a,gmm2,7.034022000245327e-06,0.60857176532847,0,0
4,5,0.6379,4,bciciv2a,gmm2,1.0,0.60857176532847,1,0
6,5,0.6081,3,bciciv2a,gmm2,1.0,0.60857176532847,1,0
7,5,0.6413,5,bciciv2a,gmm2,1.0,0.60857176532847,1,0
