source_id,target_id,distance,distance_rank,dataset,method,tau_t,weight,threshold_uniform,selected,guardrail_used
1,0,1.0946,8,bciciv2a,softmax_tau,0.6902999999999999,0.059608953466375354,0.125,0,0
2,0,0.2983,1,bciciv2a,softmax_tau,0.6902999999999999,0.18892728649196672,0.125,1,0
3,0,0.34627,3,bciciv2a,softmax_tau,0.6902999999999999,0.17624422726569583,0.125,1,0
4,0,0.7964,6,bciciv2a,softmax_tau,0.6902999999999999,0.09181648730177505,0.125,0,0
5,0,0.713,5,bciciv2a,softmax_tau,0.6902999999999999,0.10360741678054754,0.125,0,0
6,0,0.30925,2,bciciv2a,softmax_tau,0.6902999999999999,0.18595403975206118,0.125,1,0
7,0,0.6676,4,bciciv2a,softmax_tau,0.6902999999999999,0.11065059283752647,0.125,0,0
8,0,0.8645,7,bciciv2a,softmax_tau,0.6902999999999999,0.08319099610405196,0.125,0,0
0,1,1.0946,4,bciciv2a,softmax_tau,1.1242999999999999,0.12597575651455975,0.125,1,0
2,1,1.2975,6,bciciv2a,softmax_tau,1.1242999999999999,0.10517457968864447,0.125,0,0
3,1,0.7964,2,bciciv2a,softmax_tau,1.1242999999999999,0.16423875290373482,0.125,1,0
4,1,1.154,5,bciciv2a,softmax_tau,1.1242999999999999,0.11949285825579561,0.125,0,0
5,1,0.6615,1,bciciv2a,softmax_tau,1.1242999999999999,0.18517604153300588,0.125,1,0
6,1,1.5943,7,bciciv2a,softmax_tau,1.1242999999999999,0.08077238624216744,0.125,0,0
7,1,0.9397,3,bciciv2a,softmax_tau,1.1242999999999999,0.14458449760213674,0.125,1,0
8,1,1.6839,8,bciciv2a,softmax_tau,1.1242999999999999,0.07458512725995534,0.125,0,0
0,2,0.2983,2,bciciv2a,softmax_tau,0.6217999999999999,0.1912496444317443,0.125,1,0
1,2,1.2975,8,bciciv2a,softmax_tau,0.6217999999999999,0.03834530295512009,0.125,0,0
3,2,0.7945,7,bciciv2a,softmax_tau,0.6217999999999999,0.08610554609037557,0.125,0,0
4,2,0.5791,4,bciciv2a,softmax_tau,0.6217999999999999,0.12175215496296293,0.125,0,0
5,2,0.53,3,bciciv2a,softmax_tau,0.6217999999999999,0.13175600418027247,0.125,1,0
6,2,0.6645,5,bciciv2a,softmax_tau,0.6217999999999999,0.10612782507514387,0.125,0,0
7,2,0.1793,1,bciciv2a,softmax_tau,0.6217999999999999,0.23158789521753578,0.125,1,0
8,2,0.7461,6,bciciv2a,softmax_tau,0.6217999999999999,0.09307562708684508,0.125,0,0
0,3,0.34627,2,bciciv2a,softmax_tau,0.79545,0.19517112180760698,0.125,1,0
1,3,0.7964,5,bciciv2a,softmax_tau,0.79545,0.11082980912834794,0.125,0,0
2,3,0.7945,4,bciciv2a,softmax_tau,0.79545,0.11109485196926251,0.125,0,0
4,3,0.28166,1,bciciv2a,softmax_tau,0.79545,0.21168539478610765,0.125,1,0
5,3,0.9437,7,bciciv2a,softmax_tau,0.79545,0.09209471631050911,0.125,0,0
6,3,1.231,8,bciciv2a,softmax_tau,0.79545,0.06417658123181126,0.125,0,0
7,3,0.7841,3,bciciv2a,softmax_tau,0.79545,0.11255688283809066,0.125,0,0
8,3,0.8594,6,bciciv2a,softmax_tau,0.79545,0.10239064192826383,0.125,0,0
0,4,0.7964,7,bciciv2a,softmax_tau,0.6464000000000001,0.09681253100170194,0.125,0,0
1,4,1.154,8,bciciv2a,softmax_tau,0.6464000000000001,0.05567652570940834,0.125,0,0
2,4,0.5791,3,bciciv2a,softmax_tau,0.6464000000000001,0.13549652481331376,0.125,1,0
3,4,0.28166,1,bciciv2a,softmax_tau,0.6464000000000001,0.2146683990920224,0.125,1,0
5,4,0.6379,4,bciciv2a,softmax_tau,0.6464000000000001,0.12371501399952624,0.125,0,0
6,4,0.4976,2,bciciv2a,softmax_tau,0.6464000000000001,0.15370403669211952,0.125,1,0
7,4,0.6549,5,bciciv2a,softmax_tau,0.6464000000000001,0.12050378236647594,0.125,0,0
8,4,0.7792,6,bciciv2a,softmax_tau,0.6464000000000001,0.0994231863254318,0.125,0,0
0,5,0.713,7,bciciv2a,softmax_tau,0.6396,0.11111081675830799,0.125,0,0
1,5,0.6615,6,bciciv2a,softmax_tau,0.6396,0.12042740543782088,0.125,0,0
2,5,0.53,2,bciciv2a,softmax_tau,0.6396,0.14791597486903874,0.125,1,0
3,5,0.9437,8,bciciv2a,softmax_tau,0.6396,0.0774655923890504,0.125,0,0
4,5,0.6379,4,bciciv2a,softmax_tau,0.6396,0.12495393984757304,0.125,0,0
6,5,0.6081,3,bciciv2a,softmax_tau,0.6396,0.13091350107078034,0.125,1,0
7,5,0.6413,5,bciciv2a,softmax_tau,0.6396,0.1242914692445755,0.125,0,0
8,5,0.4682,1,bciciv2a,softmax_tau,0.6396,0.1629213003828532,0.125,1,0
0,6,0.30925,2,bciciv2a,softmax_tau,0.55285,0.19773990787203918,0.125,1,0
1,6,1.5943,8,bciciv2a,softmax_tau,0.55285,0.019347103037973896,0.125,0,0
2,6,0.6645,6,bciciv2a,softmax_tau,0.55285,0.10399816024925498,0.125,0,0
3,6,1.231,7,bciciv2a,softmax_tau,0.55285,0.03732573247943137,0.125,0,0
4,6,0.4976,4,bciciv2a,softmax_tau,0.55285,0.14064843590162887,0.125,1,0
5,6,0.6081,5,bciciv2a,softmax_tau,0.55285,0.11516778107736131,0.125,0,0
7,6,0.3496,3,bciciv2a,softmax_tau,0.55285,0.1838218590814321,0.125,1,0
8,6,0.2976,1,bciciv2a,softmax_tau,0.55285,0.20195102030087825,0.125,1,0
0,7,0.6676,5,bciciv2a,softmax_tau,0.66125,0.11138240694194176,0.125,0,0
1,7,0.9397,8,bciciv2a,softmax_tau,0.66125,0.0738086552371549,0.125,0,0
2,7,0.1793,1,bciciv2a,softmax_tau,0.66125,0.2330887526250761,0.125,1,0
3,7,0.7841,6,bciciv2a,softmax_tau,0.66125,0.09339033998757566,0.125,0,0
4,7,0.6549,4,bciciv2a,softmax_tau,0.66125,0.11354229801785909,0.125,0,0
5,7,0.6413,3,bciciv2a,softmax_tau,0.66125,0.1159017147141224,0.125,0,0
6,7,0.3496,2,bciciv2a,softmax_tau,0.66125,0.18016565991588662,0.125,1,0
8,7,0.8971,7,bciciv2a,softmax_tau,0.66125,0.0787201725603836,0.125,0,0
0,8,0.8645,6,bciciv2a,softmax_tau,0.8193,0.10846082341081026,0.125,0,0
1,8,1.6839,8,bciciv2a,softmax_tau,0.8193,0.039895637329680725,0.125,0,0
2,8,0.7461,3,bciciv2a,softmax_tau,0.8193,0.12532403240094925,0.125,1,0
3,8,0.8594,5,bciciv2a,softmax_tau,0.8193,0.10913807888394444,0.125,0,0
4,8,0.7792,4,bciciv2a,softmax_tau,0.8193,0.12036181129733403,0.125,0,0
5,8,0.4682,2,bciciv2a,softmax_tau,0.8193,0.17593148607206158,0.125,1,0
6,8,0.2976,1,bciciv2a,softmax_tau,0.8193,0.21665823767209091,0.125,1,0
7,8,0.8971,7,bciciv2a,softmax_tau,0.8193,0.10422989293312883,0.125,0,0
