source_id,target_id,distance,distance_rank,dataset,method,p_near,near_comp_mean,selected,fallback_used
4,2,0.0398,2,cho2017,gmm2,0.9988959158515405,0.040741341336830175,1,0
14,2,0.0845,4,cho2017,gmm2,0.0001840043165095158,0.040741341336830175,0,0
17,2,0.1305,7,cho2017,gmm2,1.5945460074270772e-19,0.040741341336830175,0,0
28,2,0.0296,1,cho2017,gmm2,0.999589112001479,0.040741341336830175,1,0
30,2,0.1141,5,cho2017,gmm2,3.341614721824094e-13,0.040741341336830175,0,0
40,2,0.1574,9,cho2017,gmm2,3.56115183498376e-32,0.040741341336830175,0,0
42,2,0.1465,8,cho2017,gmm2,1.0461980076348636e-26,0.040741341336830175,0,0
44,2,0.053,3,cho2017,gmm2,0.9842310551949507,0.040741341336830175,1,0
45,2,0.125,6,cho2017,gmm2,2.7546897925675674e-17,0.040741341336830175,0,0
2,4,0.0398,1,cho2017,gmm2,0.9999938910666094,0.048998291403585296,1,0
14,4,0.1283,5,cho2017,gmm2,1.0129500736247369e-16,0.048998291403585296,0,0
17,4,0.1594,8,cho2017,gmm2,1.0048875549817403e-31,0.048998291403585296,0,0
28,4,0.1797,9,cho2017,gmm2,1.2324064710573222e-43,0.048998291403585296,0,0
30,4,0.1175,3,cho2017,gmm2,1.9824340934823237e-12,0.048998291403585296,0,0
40,4,0.1498,6,cho2017,gmm2,1.128230124921624e-26,0.048998291403585296,0,0
42,4,0.1253,4,cho2017,gmm2,1.7587463276721881e-15,0.048998291403585296,0,0
44,4,0.1568,7,cho2017,gmm2,2.5518020126944554e-30,0.048998291403585296,0,0
45,4,0.0582,2,cho2017,gmm2,0.9996224981908891,0.048998291403585296,1,0
2,14,0.0845,3,cho2017,gmm2,0.983711253255502,0.062072250837143406,1,0
4,14,0.1283,6,cho2017,gmm2,0.00019623040657272588,0.062072250837143406,0,0
17,14,0.1245,4,cho2017,gmm2,0.0006010426317432459,0.062072250837143406,0,0
28,14,0.046,1,cho2017,gmm2,0.9999995953280683,0.062072250837143406,1,0
30,14,0.1552,8,cho2017,gmm2,6.236887499565048e-08,0.062072250837143406,0,0
40,14,0.1499,7,cho2017,gmm2,3.103172512387731e-07,0.062072250837143406,0,0
42,14,0.056,2,cho2017,gmm2,0.9999938916862244,0.062072250837143406,1,0
44,14,0.169,9,cho2017,gmm2,9.181497475748629e-10,0.062072250837143406,0,0
45,14,0.1267,5,cho2017,gmm2,0.00031456811256963193,0.062072250837143406,0,0
2,17,0.1305,5,cho2017,gmm2,0.11419046141482625,0.08857494597158548,0,0
4,17,0.1594,9,cho2017,gmm2,0.0070756880767993465,0.08857494597158548,0,0
14,17,0.1245,4,cho2017,gmm2,0.23190525544273471,0.08857494597158548,0,0
28,17,0.1578,7,cho2017,gmm2,0.007877552031324996,0.08857494597158548,0,0
30,17,0.0861,2,cho2017,gmm2,0.9981378546670472,0.08857494597158548,1,0
40,17,0.1592,8,cho2017,gmm2,0.007168931549789287,0.08857494597158548,0,0
42,17,0.1125,3,cho2017,gmm2,0.6818597488154383,0.08857494597158548,1,0
44,17,0.1527,6,cho2017,gmm2,0.011540523827137859,0.08857494597158548,0,0
45,17,0.06,1,cho2017,gmm2,0.9999984523382927,0.08857494597158548,1,0
2,28,0.0296,1,cho2017,gmm2,1.0,0.0622982472039101,1,0
4,28,0.1797,9,cho2017,gmm2,1.569635430365643e-05,0.0622982472039101,0,0
14,28,0.046,2,cho2017,gmm2,1.0,0.0622982472039101,1,0
17,28,0.1578,7,cho2017,gmm2,0.0002437062770647885,0.0622982472039101,0,0
30,28,0.0738,4,cho2017,gmm2,0.9999999999997806,0.0622982472039101,1,0
40,28,0.1489,6,cho2017,gmm2,0.0017019160142230792,0.0622982472039101,0,0
42,28,0.1,5,cho2017,gmm2,0.9999974364794741,0.0622982472039101,1,0
44,28,0.0619,3,cho2017,gmm2,1.0,0.0622982472039101,1,0
45,28,0.1589,8,cho2017,gmm2,0.00019813262340280028,0.0622982472039101,0,0
2,30,0.1141,6,cho2017,gmm2,0.11452841319890376,0.07637015448772944,0,0
4,30,0.1175,7,cho2017,gmm2,0.07536409388974111,0.07637015448772944,0,0
14,30,0.1552,8,cho2017,gmm2,0.00014413671707624667,0.07637015448772944,0,0
17,30,0.0861,3,cho2017,gmm2,0.7439891559326397,0.07637015448772944,1,0
28,30,0.0738,2,cho2017,gmm2,0.8853889813319539,0.07637015448772944,1,0
40,30,0.0513,1,cho2017,gmm2,0.9614975972463008,0.07637015448772944,1,0
42,30,0.1132,5,cho2017,gmm2,0.12718242256938914,0.07637015448772944,0,0
44,30,0.087,4,cho2017,gmm2,0.7282844850316281,0.07637015448772944,1,0
45,30,0.161,9,cho2017,gmm2,4.459596016728243e-05,0.07637015448772944,0,0
2,40,0.1574,8,cho2017,gmm2,5.012536598261729e-29,0.04416666666666664,0,0
4,40,0.1498,5,cho2017,gmm2,1.5937811893734045e-25,0.04416666666666664,0,0
14,40,0.1499,6,cho2017,gmm2,1.406847049405024e-25,0.04416666666666664,0,0
17,40,0.1592,9,cho2017,gmm2,1.1304180248893288e-29,0.04416666666666664,0,0
28,40,0.1489,4,cho2017,gmm2,5.009363986514647e-25,0.04416666666666664,0,0
30,40,0.0513,3,cho2017,gmm2,1.0,0.04416666666666664,1,0
42,40,0.153,7,cho2017,gmm2,3.76461005591851e-27,0.04416666666666664,0,0
44,40,0.0301,1,cho2017,gmm2,1.0,0.04416666666666664,1,0
45,40,0.0511,2,cho2017,gmm2,1.0,0.04416666666666664,1,0
2,42,0.1465,7,cho2017,gmm2,4.733210418946935e-15,0.04322765928526977,0,0
4,42,0.1253,6,cho2017,gmm2,5.082193934159002e-10,0.04322765928526977,0,0
14,42,0.056,2,cho2017,gmm2,0.9961803912600018,0.04322765928526977,1,0
17,42,0.1125,4,cho2017,gmm2,2.600153771662404e-07,0.04322765928526977,0,0
28,42,0.1,3,cho2017,gmm2,6.632237915038813e-05,0.04322765928526977,0,0
30,42,0.1132,5,cho2017,gmm2,1.8760667369283894e-07,0.04322765928526977,0,0
40,42,0.153,9,cho2017,gmm2,9.924929477133793e-17,0.04322765928526977,0,0
44,42,0.0305,1,cho2017,gmm2,0.9999874157462685,0.04322765928526977,1,0
45,42,0.1484,8,cho2017,gmm2,1.552876585185264e-15,0.04322765928526977,0,0
2,44,0.053,3,cho2017,gmm2,1.0,0.05250029352820808,1,0
4,44,0.1568,7,cho2017,gmm2,2.4099585346533076e-06,0.05250029352820808,0,0
14,44,0.169,9,cho2017,gmm2,4.279933164730237e-07,0.05250029352820808,0,0
17,44,0.1527,6,cho2017,gmm2,9.77329421364451e-06,0.05250029352820808,0,0
28,44,0.0619,4,cho2017,gmm2,1.0,0.05250029352820808,1,0
30,44,0.087,5,cho2017,gmm2,1.0,0.05250029352820808,1,0
40,44,0.0301,1,cho2017,gmm2,1.0,0.05250029352820808,1,0
42,44,0.0305,2,cho2017,gmm2,1.0,0.05250029352820808,1,0
45,44,0.1579,8,cho2017,gmm2,1.775542275243855e-06,0.05250029352820808,0,0
2,45,0.125,4,cho2017,gmm2,8.81415012237966e-65,0.05643333325927614,0,0
4,45,0.0582,2,cho2017,gmm2,0.999999979380026,0.05643333325927614,1,0
14,45,0.1267,5,cho2017,gmm2,4.235779740672902e-68,0.05643333325927614,0,0
17,45,0.06,3,cho2017,gmm2,0.9999999440433165,0.05643333325927614,1,0
28,45,0.1589,8,cho2017,gmm2,6.093689054605995e-145,0.05643333325927614,0,0
30,45,0.161,9,cho2017,gmm2,7.083514554525884e-151,0.05643333325927614,0,0
40,45,0.0511,1,cho2017,gmm2,0.9999999974057467,0.05643333325927614,1,0
42,45,0.1484,6,cho2017,gmm2,5.7859770171197664e-117,0.05643333325927614,0,0
44,45,0.1579,7,cho2017,gmm2,3.725317096874336e-142,0.05643333325927614,0,0
