dataset,method,target_id,num_candidates,num_selected,mean_distance_selected,median_distance_selected,near_comp_mean,fallback_used,selected_sources_ordered
cho2017,gmm2,2,9,3,0.0408,0.0398,0.040741341336830175,0,"28,4,44"
cho2017,gmm2,4,9,2,0.049,0.049,0.048998291403585296,0,"2,45"
cho2017,gmm2,14,9,3,0.06216666666666667,0.056,0.062072250837143406,0,"28,42,2"
cho2017,gmm2,17,9,3,0.0862,0.0861,0.08857494597158548,0,"45,30,42"
cho2017,gmm2,28,9,5,0.06226,0.0619,0.0622982472039101,0,"2,14,44,30,42"
cho2017,gmm2,30,9,4,0.07455,0.07995,0.07637015448772944,0,"40,28,17,44"
cho2017,gmm2,40,9,3,0.04416666666666667,0.0511,0.04416666666666664,0,"44,45,30"
cho2017,gmm2,42,9,2,0.04325,0.04325,0.04322765928526977,0,"44,14"
cho2017,gmm2,44,9,5,0.05249999999999999,0.053,0.05250029352820808,0,"40,42,2,28,30"
cho2017,gmm2,45,9,3,0.056433333333333335,0.0582,0.05643333325927614,0,"40,4,17"
