source_id,target_id,distance,distance_rank,dataset,method,tau_t,weight,threshold_uniform,selected,guardrail_used
4,2,0.0398,2,cho2017,softmax_tau,0.1141,0.17075350325776076,0.1111111111111111,1,0
14,2,0.0845,4,cho2017,softmax_tau,0.1141,0.11540635276354325,0.1111111111111111,1,0
17,2,0.1305,7,cho2017,softmax_tau,0.1141,0.07711549826057727,0.1111111111111111,0,0
28,2,0.0296,1,cho2017,softmax_tau,0.1141,0.18672114158987002,0.1111111111111111,1,0
30,2,0.1141,5,cho2017,softmax_tau,0.1141,0.08903573824695948,0.1111111111111111,0,0
40,2,0.1574,9,cho2017,softmax_tau,0.1141,0.06091906430465708,0.1111111111111111,0,0
42,2,0.1465,8,cho2017,softmax_tau,0.1141,0.06702571857955425,0.1111111111111111,0,0
44,2,0.053,3,cho2017,softmax_tau,0.1141,0.15209921256049083,0.1111111111111111,1,0
45,2,0.125,6,cho2017,softmax_tau,0.1141,0.08092377043658713,0.1111111111111111,0,0
2,4,0.0398,1,cho2017,softmax_tau,0.1283,0.20067569398689417,0.1111111111111111,1,0
14,4,0.1283,5,cho2017,softmax_tau,0.1283,0.1006753100601696,0.1111111111111111,0,0
17,4,0.1594,8,cho2017,softmax_tau,0.1283,0.07900411683993479,0.1111111111111111,0,0
28,4,0.1797,9,cho2017,softmax_tau,0.1283,0.06744261228980718,0.1111111111111111,0,0
30,4,0.1175,3,cho2017,softmax_tau,0.1283,0.10951683645767965,0.1111111111111111,0,0
40,4,0.1498,6,cho2017,softmax_tau,0.1283,0.08514235265343255,0.1111111111111111,0,0
42,4,0.1253,4,cho2017,softmax_tau,0.1283,0.10305710822335028,0.1111111111111111,0,0
44,4,0.1568,7,cho2017,softmax_tau,0.1283,0.08062146804029927,0.1111111111111111,0,0
45,4,0.0582,2,cho2017,softmax_tau,0.1283,0.17386450144843257,0.1111111111111111,1,0
2,14,0.0845,3,cho2017,softmax_tau,0.1267,0.13434573554024362,0.1111111111111111,1,0
4,14,0.1283,6,cho2017,softmax_tau,0.1267,0.09507994772990398,0.1111111111111111,0,0
17,14,0.1245,4,cho2017,softmax_tau,0.1267,0.09797478994160277,0.1111111111111111,0,0
28,14,0.046,1,cho2017,softmax_tau,0.1267,0.18205047730502463,0.1111111111111111,1,0
30,14,0.1552,8,cho2017,softmax_tau,0.1267,0.07689228477185733,0.1111111111111111,0,0
40,14,0.1499,7,cho2017,softmax_tau,0.1267,0.08017699597462473,0.1111111111111111,0,0
42,14,0.056,2,cho2017,softmax_tau,0.1267,0.1682342575275525,0.1111111111111111,1,0
44,14,0.169,9,cho2017,softmax_tau,0.1267,0.06895725623651552,0.1111111111111111,0,0
45,14,0.1267,5,cho2017,softmax_tau,0.1267,0.09628825497267501,0.1111111111111111,0,0
2,17,0.1305,5,cho2017,softmax_tau,0.1305,0.10443477252140751,0.1111111111111111,0,0
4,17,0.1594,9,cho2017,softmax_tau,0.1305,0.08368893340949199,0.1111111111111111,0,0
14,17,0.1245,4,cho2017,softmax_tau,0.1305,0.10934846413458432,0.1111111111111111,0,0
28,17,0.1578,7,cho2017,softmax_tau,0.1305,0.0847213205010634,0.1111111111111111,0,0
