dataset,method,target_id,num_candidates,num_selected,mean_distance_selected,median_distance_selected,max_weight_selected,tau_t,guardrail_used,selected_sources_ordered
cho2017,softmax_tau,2,9,4,0.05172500000000001,0.0464,0.18672114158987002,0.1141,0,"28,4,44,14"
cho2017,softmax_tau,4,9,2,0.049,0.049,0.20067569398689417,0.1283,0,"2,45"
cho2017,softmax_tau,14,9,3,0.06216666666666667,0.056,0.18205047730502463,0.1267,0,"28,42,2"
cho2017,softmax_tau,17,9,3,0.0862,0.0861,0.17925198891510907,0.1305,0,"45,30,42"
cho2017,softmax_tau,28,9,4,0.052825000000000004,0.05395,0.2088461576463014,0.1,0,"2,14,44,30"
cho2017,softmax_tau,30,9,4,0.07455,0.07995,0.17320157076622233,0.1132,0,"40,28,17,44"
cho2017,softmax_tau,40,9,3,0.04416666666666667,0.0511,0.1859072049851742,0.1498,0,"44,45,30"
cho2017,softmax_tau,42,9,3,0.06216666666666667,0.056,0.2088007712693704,0.1132,0,"44,14,28"
cho2017,softmax_tau,44,9,4,0.043875,0.041749999999999995,0.20458417507243262,0.087,0,"40,42,2,28"
cho2017,softmax_tau,45,9,3,0.056433333333333335,0.0582,0.1745846053315979,0.1267,0,"40,4,17"
